word,english_translation
देवाऱ्यांत,Translation Error
ग्रामदेवी,Translation Error
आनी,Translation Error
कुलदेवाले,Translation Error
फोटे,Translation Error
लायिल्ले,Translation Error
तांचेर,Translation Error
कुकूम,Translation Error
फांफुडलो,Translation Error
म्हळें,Translation Error
देवा,Translation Error
म्हगेलो,Translation Error
कुकूम,Translation Error
राख,Translation Error
दिपकान,Translation Error
कपड्यांक,Translation Error
इस्त्री,Translation Error
करूंक,Translation Error
घेतिल्ली,Translation Error
मागीर,Translation Error
केल्यार,Translation Error
जाली,Translation Error
इस्त्री,Translation Error
अशें,Translation Error
येवजून,Translation Error
ताणें,Translation Error
ती,Translation Error
इस्त्री,Translation Error
डिस्कनेक्ट,Translation Error
केली,Translation Error
आनी,Translation Error
मेजापोंदा,Translation Error
दवरली,Translation Error
मेजार,Translation Error
अर्दकुटी,Translation Error
इस्त्री,Translation Error
करून,Translation Error
दवरिल्ली,Translation Error
पॅंट,Translation Error
तशीच,Translation Error
पर्थून,Translation Error
सरयेर,Translation Error
उडयली,Translation Error
शीला,Translation Error
फाटले,Translation Error
लायनीत,Translation Error
इश्टीण,Translation Error
सानियागेर,Translation Error
गेल्लें,Translation Error
ताका,Translation Error
थंय,Translation Error
कळ्ळें,Translation Error
आसुंये,Translation Error
तें,Translation Error
धांवत,Translation Error
रडतच,Translation Error
येयलें,Translation Error
दिपू,Translation Error
बाबा,Translation Error
बरो,Translation Error
ना,Translation Error
जालो,Translation Error
खंय,Translation Error
मुरे,Translation Error
सीता,Translation Error
भितरल्यान,Translation Error
भायर,Translation Error
येयली,Translation Error
तिणें,Translation Error
चेडवाक,Translation Error
खाकोळांत,Translation Error
घेयलें,Translation Error
म्हळें,Translation Error
भियेनाका,Translation Error
पिशें,Translation Error
खंयचें,Translation Error
बाबा,Translation Error
बरो,Translation Error
जावन,Translation Error
येतलो,Translation Error
बाबा,Translation Error
बेसुद्द,Translation Error
आशिल्लो,Translation Error
खंय,Translation Error
गे,Translation Error
व्हरतना,Translation Error
सीतेक,Translation Error
हड्ड्यांत,Translation Error
धस्स्,Translation Error
जालें,Translation Error
गणेस,Translation Error
हवलदारान,Translation Error
बेसुद्द,Translation Error
जाल्लो,Translation Error
म्हण,Translation Error
सांगूंक,Translation Error
नासलें,Translation Error
उरफाटें,Translation Error
बरो,Translation Error
आसा,Translation Error
म्हणिल्लें,Translation Error
भियेत,Translation Error
बीन,Translation Error
म्हूण,Translation Error
सांगिल्लें,Translation Error
काय,Translation Error
अरे,Translation Error
देवा,Translation Error
रमा,Translation Error
आनी,Translation Error
उमा,Translation Error
शेजाऱ्यागेर,Translation Error
वचून,Translation Error
बशिल्लीं,Translation Error
कळनाफुडें,Translation Error
तिवूय,Translation Error
दोगांय,Translation Error
धांवत,Translation Error
येयलीं,Translation Error
व्हडले,Translation Error
भयणीक,Translation Error
रडचें,Translation Error
पळोवन,Translation Error
तिंवूय,Translation Error
रडूंक,Translation Error
लागलीं,Translation Error
अशिकुशीचे,Translation Error
शेजारीय,Translation Error
भुर्रर्र,Translation Error
करून,Translation Error
आयले,Translation Error
कुश्टान,Translation Error
त्यो,Translation Error
सगळ्यो,Translation Error
पुतूले,Translation Error
राशीर,Translation Error
घाल्यो,Translation Error
उरिल्ल्यो,Translation Error
सगळ्यो,Translation Error
वस्ती,Translation Error
ती,Translation Error
निसण्ण,Translation Error
तो,Translation Error
कसो,Translation Error
तो,Translation Error
शेवगो,Translation Error
ती,Translation Error
शेमळ,Translation Error
तें,Translation Error
गोडफळें,Translation Error
तो,Translation Error
मडगो,Translation Error
बडवण्यो,Translation Error
आनी,Translation Error
ताट,Translation Error
आनी,Translation Error
तो,Translation Error
निवळो,Translation Error
राशीर,Translation Error
दवर,Translation Error
जांकां,Translation Error
ताचो,Translation Error
उपेग,Translation Error
ताणें,Translation Error
ती,Translation Error
वस्त,Translation Error
व्हरून,Translation Error
पर्थून,Translation Error
हाडून,Translation Error
दिवची,Translation Error
आतां,Translation Error
ह्यो,Translation Error
राशीवेल्यो,Translation Error
वस्ती,Translation Error
दवरच्यो,Translation Error
कोणागेर,Translation Error
म्हादू,Translation Error
मदींच,Translation Error
उलयलो,Translation Error
राशीवेल्यो,Translation Error
सगळ्यो,Translation Error
वस्ती,Translation Error
मेळून,Translation Error
कितल्यो,Translation Error
जातात,Translation Error
पळय,Translation Error
त्यो,Translation Error
कुश्टान,Translation Error
मेजून,Translation Error
सांगलें,Translation Error
पुराय,Translation Error
चवदा,Translation Error
सात,Translation Error
हेवटेन,Translation Error
सात,Translation Error
तेवटेन,Translation Error
कर,Translation Error
कुश्टान,Translation Error
निसण्ण,Translation Error
कांडण,Translation Error
शेमळ,Translation Error
शेवगो,Translation Error
कुडव,Translation Error
गिरटी,Translation Error
आनी,Translation Error
बडवण्यो,Translation Error
काडून,Translation Error
सीतेले,Translation Error
राशीर,Translation Error
दवरल्यो,Translation Error
उरिल्ल्यो,Translation Error
पुराय,Translation Error
वस्ती,Translation Error
पुतूक,Translation Error
दिल्यो,Translation Error
जालें,Translation Error
मू,Translation Error
पुराय,Translation Error
वस्ती,Translation Error
वांटून,Translation Error
देवकीन,Translation Error
म्हळें,Translation Error
गोठ्यान,Translation Error
म्हसरांक,Translation Error
नीस,Translation Error
उदक,Translation Error
घालचे,Translation Error
दोन,Translation Error
कोटंबे,Translation Error
आनी,Translation Error
तळ्यांतलें,Translation Error
उदक,Translation Error
काडच्यो,Translation Error
दोन,Translation Error
धोणी,Translation Error
उरल्यात,Translation Error
दोगूय,Translation Error
एकेक,Translation Error
वांटून,Translation Error
घेयात,Translation Error
दोनूय,Translation Error
वाटेनी,Translation Error
हां,Translation Error
म्हूण,Translation Error
तकली,Translation Error
हालयली,Translation Error
आतां,Translation Error
जमनीचे,Translation Error
वांटे,Translation Error
करुंया,Translation Error
तुमी,Translation Error
रिकार्डा,Translation Error
उतारे,Translation Error
हाडल्यात,Translation Error
हय,Translation Error
म्हण,Translation Error
पुतू,Translation Error
घरांत,Translation Error
गेलो,Translation Error
व्हंवरेंत,Translation Error
वचून,Translation Error
ताणें,Translation Error
ट्रंक,Translation Error
उगडलो,Translation Error
तातुंतल्यान,Translation Error
रिकार्डा,Translation Error
उतारे,Translation Error
काडले,Translation Error
ट्रंक,Translation Error
पर्थून,Translation Error
धाकलें,Translation Error
आनी,Translation Error
ते,Translation Error
उतारे,Translation Error
घेवन,Translation Error
भायर,Translation Error
येयलो,Translation Error
हें,Translation Error
घे,Translation Error
म्हूण,Translation Error
ताणें,Translation Error
ते,Translation Error
यशवंतबाबाकडेन,Translation Error
दिले,Translation Error
यशवंतबाबान,Translation Error
उतारे,Translation Error
उगडून,Translation Error
पळयलें,Translation Error
सुनंदालो,Translation Error
घोव,Translation Error
असनोटकार,Translation Error
हांगा,Translation Error
यो,Translation Error
रे,Translation Error
सुनंदालो,Translation Error
घोव,Translation Error
गणपती,Translation Error
मुखार,Translation Error
येयलो,Translation Error
हे,Translation Error
घे,Translation Error
तूं,Translation Error
चय,Translation Error
म्हाका,Translation Error
नदर,Translation Error
बरी,Translation Error
दिसना,Translation Error
गणपतीन,Translation Error
उताऱ्यावेल्यान,Translation Error
नदर,Translation Error
घुंवडायली,Translation Error
यशवंतबाबान,Translation Error
म्हळें,Translation Error
हांव,Translation Error
जाणां,Translation Error
तांकां,Translation Error
पुराय,Translation Error
स,Translation Error
खांडयेची,Translation Error
जमीन,Translation Error
दोन,Translation Error
भाटां,Translation Error
आनी,Translation Error
हे,Translation Error
घरांबाग,Translation Error
सगळींच,Translation Error
सात,Translation Error
सर्वे,Translation Error
नंबरां,Translation Error
एक,Translation Error
खांडयेची,Translation Error
वायंगणां,Translation Error
जमीण,Translation Error
एक,Translation Error
खांडयेचें,Translation Error
शेळींशेत,Translation Error
दोन,Translation Error
खांडयेचें,Translation Error
मुशीकडेन,Translation Error
शेत,Translation Error
आनी,Translation Error
दोन,Translation Error
खांडयेचें,Translation Error
गुळटीत,Translation Error
म्हादुलें,Translation Error
आनी,Translation Error
नायकांवाड्यावेल्या,Translation Error
दिगंबरालें,Translation Error
फाटीं,Translation Error
गुळटीत,Translation Error
मेरेकडेन,Translation Error
तंटें,Translation Error
जाल्लें,Translation Error
तंटें,Translation Error
मारामारीर,Translation Error
पाविल्लें,Translation Error
रजेर,Translation Error
येयिल्लो,Translation Error
शिवराम,Translation Error
वयले,Translation Error
वटेंच्या,Translation Error
शेतांत,Translation Error
जवड,Translation Error
बरगितालो,Translation Error
तो,Translation Error
धांवत,Translation Error
येतां,Translation Error
मेरेन,Translation Error
म्हादून,Translation Error
दिगंबराक,Translation Error
खोऱ्याचो,Translation Error
पाश,Translation Error
घाल्लो,Translation Error
दिगंबराचें,Translation Error
भूज,Translation Error
सुटिल्लें,Translation Error
पुलीस,Translation Error
केश,Translation Error
जाल्ली,Translation Error
केश,Translation Error
कोर्टांत,Translation Error
गेल्ली,Translation Error
शिवराम,Translation Error
साक्षिदार,Translation Error
आशिल्लो,Translation Error
म्हादू,Translation Error
शिवरामालागीं,Translation Error
येवन,Translation Error
म्हणूंक,Translation Error
लागलो,Translation Error
खंय,Translation Error
शिवरामबाब,Translation Error
तूं,Translation Error
बगलांट,Translation Error
साक्ष,Translation Error
दी,Translation Error
आपूण,Translation Error
पळयलेंच,Translation Error
ना,Translation Error
म्हूण,Translation Error
सांग,Translation Error
पुणून,Translation Error
शिवरामान,Translation Error
तें,Translation Error
मानलेंच,Translation Error
ना,Translation Error
आपूण,Translation Error
बगलांट,Translation Error
साक्ष,Translation Error
दिवपी,Translation Error
न्ही,Translation Error
म्हळें,Translation Error
आनी,Translation Error
कोर्टांत,Translation Error
खरें,Translation Error
आशिल्लें,Translation Error
सांगलें,Translation Error
म्हादूक,Translation Error
दंड,Translation Error
आनी,Translation Error
सजा,Translation Error
जाल्ली,Translation Error
म्हादू,Translation Error
ती,Translation Error
तिडक,Translation Error
काळजांत,Translation Error
घट्ट,Translation Error
धरून,Translation Error
आशिल्लो,Translation Error
म्हादू,Translation Error
तसो,Translation Error
वागतालो,Translation Error
म्हूण,Translation Error
पुतून,Translation Error
तशें,Translation Error
वागप,Translation Error
दिपकाक,Translation Error
मात्तूय,Translation Error
मानवलें,Translation Error
ना,Translation Error
तो,Translation Error
तडक,Translation Error
पुतूल्या,Translation Error
घरा,Translation Error
येयलो,Translation Error
पुतू,Translation Error
विडी,Translation Error
फुसकीत,Translation Error
वासरेर,Translation Error
बशिल्लो,Translation Error
काका,Translation Error
बांद,Translation Error
कोणें,Translation Error
फोडलो,Translation Error
रे,Translation Error
बांद,Translation Error
म्हाका,Translation Error
कितें,Translation Error
खबर,Translation Error
तुवें,Translation Error
फोडलो,Translation Error
मु,Translation Error
रे,Translation Error
ताची,Translation Error
ती,Translation Error
विचारपाची,Translation Error
तरा,Translation Error
पळोवन,Translation Error
पुतूक,Translation Error
तिडक,Translation Error
मारली,Translation Error
विडये,Translation Error
पोंत,Translation Error
जमनीर,Translation Error
चिड्डीत,Translation Error
ताणें,Translation Error
म्हळें,Translation Error
सारखो,Translation Error
आसा,Translation Error
मुरे,Translation Error
तूं,Translation Error
कोणाक,Translation Error
विचारता,Translation Error
तूं,Translation Error
तुका,Translation Error
विचरतां,Translation Error
हांव,Translation Error
जाणां,Translation Error
तूं,Translation Error
आमचेर,Translation Error
कितलीं,Translation Error
कुसडीपणां,Translation Error
करता,Translation Error
तीं,Translation Error
तूं,Translation Error
कितें,Translation Error
समजला,Translation Error
आमकां,Translation Error
पळयल्यार,Translation Error
तुज्या,Translation Error
पोटांत,Translation Error
जाळ,Translation Error
पडटात,Translation Error
हें,Translation Error
आमी,Translation Error
नकळ,Translation Error
इतले,Translation Error
दीस,Translation Error
हांव,Translation Error
रगताचें,Translation Error
नातें,Translation Error
जाणून,Translation Error
ओगी,Translation Error
रावलों,Translation Error
हाचे,Translation Error
उपरांत,Translation Error
ओगी,Translation Error
रावचोंना,Translation Error
तुवें,Translation Error
आनी,Translation Error
म्हादून,Translation Error
मेळून,Translation Error
बांद,Translation Error
आमगेलो,Translation Error
फोडलो,Translation Error
मुरे,Translation Error
देवकी,Translation Error
मदले,Translation Error
कुडींत,Translation Error
आसली,Translation Error
हें,Translation Error
आयकून,Translation Error
ती,Translation Error
बेगोबेगीन,Translation Error
भायर,Translation Error
येयली,Translation Error
म्हणूंक,Translation Error
लागली,Translation Error
अरे,Translation Error
तूं,Translation Error
हें,Translation Error
कितें,Translation Error
विचारता,Translation Error
आनी,Translation Error
कोणाक,Translation Error
विचारता,Translation Error
हें,Translation Error
जाणा,Translation Error
मुरे,Translation Error
हांव,Translation Error
सगळें,Translation Error
बेस,Translation Error
बरें,Translation Error
जाणां,Translation Error
तुगेल्या,Translation Error
घोवाक,Translation Error
वळखतां,Translation Error
हांव,Translation Error
इतल्यान,Translation Error
फाटल्यान,Translation Error
सीता,Translation Error
आनी,Translation Error
शीला,Translation Error
येयलीं,Translation Error
देवकेन,Translation Error
सीतेक,Translation Error
पळोवन,Translation Error
म्हळें,Translation Error
वासरेर,Translation Error
सगळीं,Translation Error
ओग्गी,Translation Error
बशिल्लीं,Translation Error
पुराय,Translation Error
वातावरण,Translation Error
गप्प,Translation Error
गप्प,Translation Error
सीता,Translation Error
पोल्यार,Translation Error
हात,Translation Error
घेवन,Translation Error
चिंतताली,Translation Error
देवा,Translation Error
कसो,Translation Error
लागलो,Translation Error
काय,Translation Error
उजो,Translation Error
घुड्यांक,Translation Error
कोणीय,Translation Error
रामपारांर,Translation Error
उठून,Translation Error
हळशिकेक,Translation Error
वतना,Translation Error
येतना,Translation Error
चुकून,Translation Error
कुशीक,Translation Error
म्हूण,Translation Error
उडयिल्ली,Translation Error
विडी,Translation Error
पडून,Translation Error
पेटली,Translation Error
ना,Translation Error
मू,Translation Error
शे,Translation Error
तशें,Translation Error
आसल्यार,Translation Error
अशे,Translation Error
तरेन,Translation Error
जळनाशिल्ली,Translation Error
हीं,Translation Error
पळयल्यार,Translation Error
मुजरत,Translation Error
कोणें,Translation Error
तरी,Translation Error
उजो,Translation Error
लावन,Translation Error
गेल्लेवरी,Translation Error
वांगडाच,Translation Error
मुळांतल्यान,Translation Error
वयर,Translation Error
जळत,Translation Error
येयिल्लीं,Translation Error
आनी,Translation Error
तसो,Translation Error
कोणूय,Translation Error
विडी,Translation Error
काडी,Translation Error
ह्या,Translation Error
दिसांनी,Translation Error
कसोय,Translation Error
खंयूय,Translation Error
उडोवंचो,Translation Error
ना,Translation Error
हांगा,Translation Error
सगळे,Translation Error
शेतकारच,Translation Error
हे,Translation Error
दिसाडेन,Translation Error
वावुरतना,Translation Error
जण,Translation Error
एकलो,Translation Error
तसो,Translation Error
हांगा,Translation Error
तणाचें,Translation Error
आनी,Translation Error
कणाचें,Translation Error
भान,Translation Error
विसरून,Translation Error
वावुरचो,Translation Error
ना,Translation Error
कोणें,Translation Error
तरी,Translation Error
मुजरत,Translation Error
पेटयलीं,Translation Error
तीं,Translation Error
सकाळीं,Translation Error
उठिल्लें,Translation Error
तेन्ना,Translation Error
पुतू,Translation Error
ताकतिकेन,Translation Error
घरांत,Translation Error
भितर,Translation Error
सरतना,Translation Error
पळयिल्लो,Translation Error
घडये,Translation Error
तो,Translation Error
तेन्ना,Translation Error
घुड्यांक,Translation Error
उजो,Translation Error
लावनच,Translation Error
येयलो,Translation Error
नासलो,Translation Error
मू,Translation Error
पुणून,Translation Error
हें,Translation Error
भुरग्यांक,Translation Error
कळूंक,Translation Error
फावना,Translation Error
भुरगीं,Translation Error
खुबळटलीं,Translation Error
आनी,Translation Error
ताणेंच,Translation Error
म्हणूंक,Translation Error
आमचेलागीं,Translation Error
तसो,Translation Error
पुरावो,Translation Error
खंय,Translation Error
आसा,Translation Error
ते,Translation Error
परस,Translation Error
तोंड,Translation Error
धांपून,Translation Error
ओग्गी,Translation Error
राविल्लें,Translation Error
कितें,Translation Error
वायट,Translation Error
हूं,Translation Error
करून,Translation Error
सुस्कारत,Translation Error
ती,Translation Error
दिमयेर,Translation Error
हात,Translation Error
दवरून,Translation Error
उठली,Translation Error
आनी,Translation Error
रांदचे,Translation Error
कुडींत,Translation Error
गेली,Translation Error
दिपकय,Translation Error
बशिल्ले,Translation Error
कडच्यान,Translation Error
उठलो,Translation Error
वासरेवेल्यान,Translation Error
भायर,Translation Error
आंगणात,Translation Error
येयलो,Translation Error
आकाडो,Translation Error
बलांटून,Translation Error
ब्रह्म्याबागांत,Translation Error
येयलो,Translation Error
थंय,Translation Error
खळार,Translation Error
सातय,Translation Error
घुडयां,Translation Error
गोबरां,Translation Error
राशी,Translation Error
जावन,Translation Error
पडिल्ली,Translation Error
आनी,Translation Error
तातुंतल्यान,Translation Error
धुंवर,Translation Error
वयर,Translation Error
सरतालो,Translation Error
तो,Translation Error
दोळे,Translation Error
ताणून,Translation Error
ताणून,Translation Error
त्या,Translation Error
गोबरा,Translation Error
राशींक,Translation Error
पळयत,Translation Error
रावलो,Translation Error
ताका,Translation Error
दिसलें,Translation Error
पळय,Translation Error
न्ही,Translation Error
ह्यो,Translation Error
राशी,Translation Error
कांय,Translation Error
खिणां,Translation Error
आदीं,Translation Error
धानां,Translation Error
घुडयां,Translation Error
म्हूण,Translation Error
उबीं,Translation Error
आशिल्लीं,Translation Error
आनी,Translation Error
आतां,Translation Error
खंयचे,Translation Error
कडेन,Translation Error
कांय,Translation Error
ना,Translation Error
कोणें,Translation Error
तरी,Translation Error
मुजरत,Translation Error
लायला,Translation Error
उजो,Translation Error
पुतून,Translation Error
नातर,Translation Error
म्हादून,Translation Error
नातर,Translation Error
दोगांयनी,Translation Error
मेळून,Translation Error
कारस्थान,Translation Error
करून,Translation Error
बांद,Translation Error
फोडलो,Translation Error
तेच,Translation Error
तरेन,Translation Error
हो,Translation Error
उजो,Translation Error
लायला,Translation Error
कित्याक,Translation Error
म्हूण,Translation Error
सतायतात,Translation Error
हे,Translation Error
आमकां,Translation Error
आमी,Translation Error
हांगा,Translation Error
येवन,Translation Error
रावल्यात,Translation Error
म्हूण,Translation Error
पुतूक,Translation Error
इतली,Translation Error
नसाय,Translation Error
म्हगेलो,Translation Error
बापूय,Translation Error
ताचो,Translation Error
सवतीभाव,Translation Error
हेंच,Translation Error
ताचें,Translation Error
कारण,Translation Error
मू,Translation Error
म्हगेलो,Translation Error
बापूय,Translation Error
जल्माकूच,Translation Error
येनाशिल्लो,Translation Error
जाल्यार,Translation Error
घडये,Translation Error
हें,Translation Error
पुराय,Translation Error
बंदीक,Translation Error
ताकाच,Translation Error
मेळटाशिल्लें,Translation Error
ह्याच,Translation Error
मुळाव्या,Translation Error
कारणाक,Translation Error
लागून,Translation Error
मू,Translation Error
देखून,Translation Error
मू,Translation Error
हो,Translation Error
दुस्वास,Translation Error
आतांचीं,Translation Error
पोरां,Translation Error
एकोणीस,Translation Error
आनी,Translation Error
वीस,Translation Error
वर्सांमेरेन,Translation Error
लग्न,Translation Error
जवाचेलींच,Translation Error
उरतात,Translation Error
आमच्या,Translation Error
तेंपार,Translation Error
बायलां,Translation Error
हे,Translation Error
पिरायेर,Translation Error
तीग,Translation Error
तीग,Translation Error
भुरग्यांल्यो,Translation Error
आवयो,Translation Error
जाताल्यो,Translation Error
तो,Translation Error
तेंप,Translation Error
आतां,Translation Error
उरूंक,Translation Error
ना,Translation Error
आज्जे,Translation Error
आतां,Translation Error
अठरा,Translation Error
वर्सां,Translation Error
आदीं,Translation Error
चेडवाचें,Translation Error
लग्न,Translation Error
केल्यार,Translation Error
सरकार,Translation Error
बेडी,Translation Error
घालून,Translation Error
व्हरतलो,Translation Error
शीला,Translation Error
आतां,Translation Error
जमानोच,Translation Error
बदल्ला,Translation Error
शेंवतूआज्जी,Translation Error
एकोणीस,Translation Error
जालीं,Translation Error
म्हणटकीर,Translation Error
कायद्यानूय,Translation Error
लग्नाची,Translation Error
पिराय,Translation Error
जाली,Translation Error
म्हूण,Translation Error
जाली,Translation Error
करूंक,Translation Error
हरकत,Translation Error
ना,Translation Error
मीरा,Translation Error
आनी,Translation Error
शिकूनय,Translation Error
जाता,Translation Error
तागेलें,Translation Error
अंदूं,Translation Error
न्ही,Translation Error
गो,Translation Error
शेवतूं,Translation Error
हूं,Translation Error
शीलान,Translation Error
तकली,Translation Error
हालयली,Translation Error
देखुनूच,Translation Error
म्हळें,Translation Error
हांवें,Translation Error
अंदू,Translation Error
शीलालें,Translation Error
लग्न,Translation Error
जावं,Translation Error
म्हूण,Translation Error
सांगून,Translation Error
घेयात,Translation Error
म्हूण,Translation Error
तुळशीन,Translation Error
आंगण,Translation Error
चाचोवचें,Translation Error
थांबोवन,Translation Error
उबें,Translation Error
रावन,Translation Error
म्हळें,Translation Error
म्हणटकीर,Translation Error
ह्या,Translation Error
आंगणांत,Translation Error
आमकां,Translation Error
शीलालो,Translation Error
भुरू,Translation Error
मेळटलो,Translation Error
तर,Translation Error
म्हणत,Translation Error
मीरा,Translation Error
बीन,Translation Error
आंगण,Translation Error
चाचोवचें,Translation Error
सोडून,Translation Error
उबी,Translation Error
रावली,Translation Error
शीलाक,Translation Error
दिसलें,Translation Error
ह्या,Translation Error
आंगणांत,Translation Error
आनीक,Translation Error
समीरा,Translation Error
वांगडा,Translation Error
म्हगेलें,Translation Error
लग्न,Translation Error
शक्य,Translation Error
आसा,Translation Error
तें,Translation Error
आनी,Translation Error
हट्टान,Translation Error
केलेंच,Translation Error
अशें,Translation Error
जाल्यार,Translation Error
हेमी,Translation Error
सगळीं,Translation Error
येतलीं,Translation Error
लग्नाक,Translation Error
इतल्या,Translation Error
व्हड,Translation Error
मनाचो,Translation Error
जाला,Translation Error
आमगेलो,Translation Error
समाज,Translation Error
दोन,Translation Error
धर्मांमदलीं,Translation Error
लग्नां,Translation Error
आंगणांत,Translation Error
अशे,Translation Error
तरेन,Translation Error
जावंक,Translation Error
अजून,Translation Error
शंबर,Translation Error
वर्सां,Translation Error
तरी,Translation Error
वयतलीं,Translation Error
म्हगेलें,Translation Error
लग्न,Translation Error
ह्या,Translation Error
आंगणांत,Translation Error
केन्नाच,Translation Error
जावचें,Translation Error
ना,Translation Error
कित्याक,Translation Error
म्हणटा,Translation Error
गो,Translation Error
शेंवतूआज्जेन,Translation Error
विचारलें,Translation Error
मीरान,Translation Error
मदींच,Translation Error
तोंड,Translation Error
घालत,Translation Error
म्हळें,Translation Error
कित्याक,Translation Error
म्हळ्यार,Translation Error
आतां,Translation Error
आंगणातं,Translation Error
कोण,Translation Error
लग्नां,Translation Error
करतात,Translation Error
आंगणांत,Translation Error
लग्न,Translation Error
करचेलो,Translation Error
तेंप,Translation Error
फाटीं,Translation Error
सरलो,Translation Error
फाटीं,Translation Error
करतालीं,Translation Error
तीं,Translation Error
व्हडलें,Translation Error
आंगण,Translation Error
करप,Translation Error
पांच,Translation Error
दीस,Translation Error
आसतना,Translation Error
व्हड,Translation Error
माटव,Translation Error
घालप,Translation Error
आनी,Translation Error
त्या,Translation Error
माटवांत,Translation Error
गडगड,Translation Error
घालीत,Translation Error
लग्नां,Translation Error
करप,Translation Error
आतां,Translation Error
लग्नां,Translation Error
हॉलांत,Translation Error
जातात,Translation Error
पुणून,Translation Error
देवकार्याची,Translation Error
हळदीम्हुर्ताचीं,Translation Error
कामां,Translation Error
आंगणांतल्या,Translation Error
माटवांतच,Translation Error
करतात,Translation Error
मु,Translation Error
गो,Translation Error
तीं,Translation Error
कार्यां,Translation Error
म्हळ्यार,Translation Error
लग्नाचेच,Translation Error
वांटे,Translation Error
न्ही,Translation Error
शेंवतूआज्जेन,Translation Error
मदींच,Translation Error
काम,Translation Error
थांबेवन,Translation Error
विचारलें,Translation Error
अचकीत,Translation Error
शेळाव,Translation Error
मारूंक,Translation Error
लागलो,Translation Error
ल्हवू,Translation Error
ल्हवू,Translation Error
घुत्यांवेल्या,Translation Error
सुरीझाडांचे,Translation Error
शेंडे,Translation Error
हालूंक,Translation Error
लागले,Translation Error
वाऱ्यान,Translation Error
नेट,Translation Error
धरलो,Translation Error
कांय,Translation Error
खिणांतच,Translation Error
मळब,Translation Error
कुपांनी,Translation Error
भरलें,Translation Error
पुरायच,Translation Error
काळोख,Translation Error
घालून,Translation Error
येयलो,Translation Error
दिपकाक,Translation Error
दिसलें,Translation Error
आतां,Translation Error
पावस,Translation Error
पडटलो,Translation Error
काम,Translation Error
थांबोवन,Translation Error
घरा,Translation Error
गेल्लें,Translation Error
बरें,Translation Error
इतल्यांत,Translation Error
झग्ग,Translation Error
जालें,Translation Error
खिणांतच,Translation Error
मळब,Translation Error
तुटून,Translation Error
पडिल्लेवरी,Translation Error
तट्तटायंच्,Translation Error
असो,Translation Error
